"nodo1","nodo2","nodo1_nombre","nodo2_nombre","peso_arista","peso_nodo1","peso_nodo2","nodo1_afinidad","nodo2_afinidad","nodo1_dos_digitos","nodo2_dos_digitos","nodo1_dos_digitos_nombre","nodo2_dos_digitos_nombre"
112514,561920,"Camaronicultura y acuicultura de otros crustáceos en agua dulce","Organizadores de convenciones y ferias comerciales e industriales","0.5",2.5,5,0.286161265697577,0.231974413530779,11,56,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
112515,931210,"Piscicultura en agua dulce","Administración pública en general","0.563636363636364",717.5,22892,0.478074802108305,0.471632860261406,11,93,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales"
112516,611411,"Piscicultura en agua salada","Escuelas comerciales y secretariales del sector privado","0.5",2.5,13,0.347228291235666,0.451027799144692,11,61,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Servicios educativos"
112519,541850,"Otra acuicultura","Agencias de anuncios publicitarios","0.333333333333333",69,73.5,0.399644441722431,0.261646300244169,11,54,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Servicios profesionales, científicos y técnicos"
114119,541943,"Pesca y captura de otros peces, crustáceos, moluscos y otras especies","Servicios veterinarios para la ganadería prestados por el sector privado","0.461538461538462",480,52.5,0.375906363364471,0.494253156204268,11,54,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Servicios profesionales, científicos y técnicos"
115111,621212,"Servicios de fumigación agrícola","Consultorios dentales del sector público","0.333333333333333",2.5,7.5,0.309646621301022,0.325301959527048,11,62,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Servicios de salud y de asistencia social"
115113,931510,"Beneficio de productos agrícolas","Regulación y fomento de actividades para mejorar y preservar el medio ambiente","0.428571428571429",22.5,1794,0.33855160874323,0.412929392816319,11,93,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales"
115119,311212,"Otros servicios relacionados con la agricultura","Elaboración de harina de trigo","0.333333333333333",25.5,175.5,0.272362832752683,0.303364284943387,11,31,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
115119,339995,"Otros servicios relacionados con la agricultura","Fabricación de ataúdes","0.333333333333333",25.5,633.5,0.272362832752683,0.387523746652429,11,33,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
115119,431194,"Otros servicios relacionados con la agricultura","Comercio al por mayor de miel","0.666666666666667",25.5,17.5,0.272362832752683,0.375875438215359,11,43,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Comercio al por mayor"
115210,339994,"Servicios relacionados con la cría y explotación de animales","Fabricación de velas y veladoras","0.5",33,138.5,0.375442486624892,0.404165090475064,11,33,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
212222,337920,"Minería de plata","Fabricación de persianas y cortineros","0.5",256,20.5,0.436133749548392,0.22165298805413,21,33,"Minería","Industrias manufactureras"
212222,513131,"Minería de plata","Edición de libros en formato electrónico","0.5",256,23,0.436133749548392,0.21882188273334,21,51,"Minería","Información en medios masivos"
212231,212232,"Minería de cobre","Minería de plomo y zinc","1",702,729,0.373989006548649,0.422353409767392,21,21,"Minería","Minería"
